Office,PALMEADOW PROFESSIONAL PLAZA,9601 W. State Street  ste 202,Space 1,Boise,,ID,83714,20 000 SF,1 240 SF,Northwest-,Office Building,B,$0.73 - $75 /SF/Mo,1 240 SF,,CBC Advisors Commercial,19335209,Now
Retail,Walgreens,10530 W. Carlton Bay Drive,1,Eagle,,ID,83616,14 465 SF,14 465 SF,Northwest-,Anchor,,$1.08 /SF/Mo,14 465 SF,,Thornton Oliver Keller Commercial Real Estate,19321451,Now
Office,7761 W. Riverside Drive,7761 W. Riverside Dr.,Ste. #210,Garden City,,ID,83714,16 080 SF,1 500 SF,Northwest-,Office Building,A,$1.42 /SF/Mo,,,Tricia Callies,19293264,Now
Industrial,5420 W. State Street,5420 W. State Street,Building 2,Boise,,ID,83703,26 400 SF,7 568 SF,Northwest-,Flex Space,,$0.30 /SF/Mo,,,Jake Tucker,19265951,Now
Retail,Plantation Shopping Center,6650-6750 Glenwood Street,6750,Boise,,ID,83714,,865 SF,Northwest-,Neighborhood Center,,$1.08 /SF/Mo,,,Mike Christensen,19158993,Now
Retail,High Visibility Retail Office Space For Lease,6728 West State Street,In-Line Space,Boise,,ID,83714,,596 SF,Northwest-,Strip Center,,Negotiable,1 868 SF,,Andrea Nilson,18965763,
Retail,High Visibility Retail Office Space For Lease,6728 West State Street,End-Cap East,Boise,,ID,83714,,1 282 SF,Northwest-,Strip Center,,Negotiable,1 868 SF,,Andrea Nilson,18965763,
Retail,High Visibility Retail Office Space For Lease,6728 West State Street,End-Cap West,Boise,,ID,83714,,2 280 SF,Northwest-,Strip Center,,Negotiable,2 280 SF,,Andrea Nilson,18965763,
Retail,Former Carwash For Sale  Lease or Redevelopment,6939 West State Street,For Lease,Garden City,,ID,83714,2 598 SF,2 598 SF,Northwest-,Vehicle Related,,Negotiable,2 598 SF,,Mallisa Jackson,19063271,Now
Retail,Shops at Eagle Promenade,3116 E. State Street,1B,Eagle,,ID,83616,,1 691 SF,Northwest-,Neighborhood Center,,$1.67 /SF/Mo,,,Mike Christensen,18998809,
Retail,Shops at Eagle Promenade,3116 E. State Street,2D,Eagle,,ID,83616,,1 200 SF,Northwest-,Neighborhood Center,,$1.67 - $1.83 /SF/Mo,,,Mike Christensen,18998809,
Retail,Eagle Promenade Retail Space,2976 E. State Street,110,Eagle,,ID,83616,,1 014 SF,Northwest-,Neighborhood Center,,$1.25 /SF/Mo,,,Mike Erkmann,18958514,Now
Retail,Eagle Promenade Retail Space,2976 E. State Street,130,Eagle,,ID,83616,,1 242 SF,Northwest-,Neighborhood Center,,$1.25 /SF/Mo,,,Mike Erkmann,18958514,Now
Retail,Collister Center,4602-4780 W. State Street,4618,Boise,,ID,83703,83 494 SF,2 100 SF,Northwest-,Retail (Other),,$0.92 /SF/Mo,2 100 SF,,Thornton Oliver Keller Commercial Real Estate,18950331,Now
Retail,Collister Center,4602-4780 W. State Street,4754,Boise,,ID,83703,83 494 SF,1 950 SF,Northwest-,Retail (Other),,Negotiable,1 950 SF,,Thornton Oliver Keller Commercial Real Estate,18950331,Now
Retail,Collister Center,4602-4780 W. State Street,4754-74,Boise,,ID,83703,83 494 SF,6 400 SF,Northwest-,Retail (Other),,$0.67 - $0.92 /SF/Mo,6 400 SF,,Thornton Oliver Keller Commercial Real Estate,18950331,Now
Retail,Collister Center,4602-4780 W. State Street,4764,Boise,,ID,83703,83 494 SF,1 950 SF,Northwest-,Retail (Other),,Negotiable,1 950 SF,,Thornton Oliver Keller Commercial Real Estate,18950331,Now
Retail,Collister Center,4602-4780 W. State Street,4774,Boise,,ID,83703,83 494 SF,2 500 SF,Northwest-,Retail (Other),,Negotiable,2 500 SF,,Thornton Oliver Keller Commercial Real Estate,18950331,Now
