Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Office for Lease - 9/16/2016,1,1,Savannah Plaza,5997 W State St,200,Boise,Idaho,83703     ,2456 SF,1228 SF,Office for Lease - 9/16/2016,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,, ,20328383,Mallisa Jackson,Colliers International,mallisa.jackson@colliers.com,(208) 353-1597, ,http://www.loopnet.com/lid/20328383,
Office for Lease - 9/16/2016,1,1,,1420 W Grove St,Space 1,Boise,Idaho,83702     ,5527 SF,5527 SF,Office for Lease - 9/16/2016,Street Retail,$1.17 /SF/Mo,$14 /SF/Yr,,NNN,20326297,Jay Story CCIM,Story Commercial LLC,story@storycommercial.com,(208) 841-8320, ,http://www.loopnet.com/lid/20326297,
Office for Lease - 9/16/2016,2,1,Norwood Professional Plaza,6540-6560 W Emerald St,Suite 116,Boise,Idaho,83704     ,10942 SF,1825 SF,Office for Lease - 9/16/2016,Medical Office,$1.23 /SF/Mo,$14.75 /SF/Yr,,Modified Gross,20323991,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/20323991,
Office for Lease - 9/16/2016,2,2,Norwood Professional Plaza,6540-6560 W Emerald St,Suite 100,Boise,Idaho,83704     ,10942 SF,649 SF,Office for Lease - 9/16/2016,Medical Office,$1.23 /SF/Mo,$14.75 /SF/Yr,,Modified Gross,20323991,Matt Mahoney,FIELD UNAVAILABLE,mattm@leeidaho.com,(208) 340-9780, ,http://www.loopnet.com/lid/20323991,
Office for Lease - 9/16/2016,1,1,High Visibility Retail,6728-6732 W State St,6730,Boise,Idaho,83714     ,7792 SF,596 SF,Office for Lease - 9/16/2016,Street Retail,$0.83 /SF/Mo,$10 /SF/Yr,,NNN,20319406,Jason O’Very,FIELD UNAVAILABLE,jasono@leeidaho.com,(208) 343-2300, ,http://www.loopnet.com/lid/20319406,
Office for Lease - 9/16/2016,6,1,Downtown Office Spaces For Lease,1655 West Fairview Avenue,103,Boise,Idaho,83702     ,29368 SF,313 SF,Office for Lease - 9/16/2016,Office Building,$0.92 /SF/Mo,$11 /SF/Yr,, ,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,6,2,Downtown Office Spaces For Lease,1655 West Fairview Avenue,Suite 110,Boise,Idaho,83702     ,29368 SF,316 SF,Office for Lease - 9/16/2016,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,6,3,Downtown Office Spaces For Lease,1655 West Fairview Avenue,119,Boise,Idaho,83702     ,29368 SF,1600 SF,Office for Lease - 9/16/2016,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Suite 100 Can be combined with Suite 119 for a total contiguous space of 5992 RSF. Remodeled 1600 sf suite with open/bullpen area great conference room break room 1 large and 1 small office.,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,6,4,Downtown Office Spaces For Lease,1655 West Fairview Avenue,209 C,Boise,Idaho,83702     ,29368 SF,518 SF,Office for Lease - 9/16/2016,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,, ,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Suite 209B Can be combined with Suite 209C for a total contiguous space of 1576 RSF. A two room suite with reception area and back office.  New paint and carpet. Second floor with windows.  Do not disturb tenant - call for appt. to show.,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,6,5,Downtown Office Spaces For Lease,1655 West Fairview Avenue,Suite 100,Boise,Idaho,83702     ,29368 SF,4392 SF,Office for Lease - 9/16/2016,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Suite 100 Can be combined with Suite 119 for a total contiguous space of 5992 RSF.,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,6,6,Downtown Office Spaces For Lease,1655 West Fairview Avenue,Suite 209B,Boise,Idaho,83702     ,29368 SF,1078 SF,Office for Lease - 9/16/2016,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,17642612,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Suite 209B Can be combined with Suite 209C for a total contiguous space of 1576 RSF,http://www.loopnet.com/lid/17642612,
Office for Lease - 9/16/2016,3,1,Mercantile Building - BODO - 8th St. Marketplace,404 S. 8th Street,L110,Boise,Idaho,83702     ,75031 SF,2099 SF,Office for Lease - 9/16/2016,Creative/Loft,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,18343140,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Affordable space in a great building!  Located in the Lower Promenade of the Building - storefront with glass to atrium.  NNNs estimated at $4.75/s.f.  Can be combined with L115 for a total of 4944 s.f.,http://www.loopnet.com/lid/18343140,
Office for Lease - 9/16/2016,3,2,Mercantile Building - BODO - 8th St. Marketplace,404 S. 8th Street,L115,Boise,Idaho,83702     ,75031 SF,2935 SF,Office for Lease - 9/16/2016,Creative/Loft,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,18343140,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Lower Promenade space but natural lights from the large windows to 8th Street through the lobby.  Can be combined with L110 for a total of 4944 sf.  NNNs estimated at $4.75/s.f.,http://www.loopnet.com/lid/18343140,
Office for Lease - 9/16/2016,3,3,Mercantile Building - BODO - 8th St. Marketplace,404 S. 8th Street,L128,Boise,Idaho,83702     ,75031 SF,1169 SF,Office for Lease - 9/16/2016,Creative/Loft,$0.75 /SF/Mo,$9 /SF/Yr,,NNN,18343140,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Nice space in the Lower Promenade of the Mercantile building.  Windows bring in lots of sunshine!  NNNs estimated at $4.75/s.f.,http://www.loopnet.com/lid/18343140,
Office for Lease - 9/16/2016,3,1,Northrup Building - BODO - 8th St. Marketplace,405 S. 8th Street,255,Boise,Idaho,83702     ,47143 SF,1564 SF,Office for Lease - 9/16/2016,Creative/Loft,$1.38 /SF/Mo,$16.50 /SF/Yr,,Full Service,18343162,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Rate is full service excluding janitorial.  Exposed brick - natural light from the atrium. Space combined with Ste. 265 and 275 for 1564 total square feet.,http://www.loopnet.com/lid/18343162,
Office for Lease - 9/16/2016,3,2,Northrup Building - BODO - 8th St. Marketplace,405 S. 8th Street,202,Boise,Idaho,83702     ,47143 SF,566 SF,Office for Lease - 9/16/2016,Creative/Loft,Negotiable,Negotiable,, ,18343162,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816, ,http://www.loopnet.com/lid/18343162,
Office for Lease - 9/16/2016,3,3,Northrup Building - BODO - 8th St. Marketplace,405 S. 8th Street,250,Boise,Idaho,83702     ,47143 SF,2370 SF,Office for Lease - 9/16/2016,Creative/Loft,$1.38 /SF/Mo,$16.50 /SF/Yr,,Modified Gross,18343162,Wendy Shoemaker,Intermountain Commercial Real Estate,wendy@icrellc.com,(208) 859-2816,Currently law office space - beautiful brick walls windows high ceilings.,http://www.loopnet.com/lid/18343162,
Office for Lease - 9/16/2016,4,1,Ashland Creek Plaza,5681 N. Glenwood St.,5681 entire suite,Boise,Idaho,83714     ,,3627 SF,Office for Lease - 9/16/2016,Strip Center,$0.67 /SF/Mo,$8 /SF/Yr,,NNN,20091791,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,2 months free rent space can be split into 2 smaller suites,http://www.loopnet.com/lid/20091791,
Office for Lease - 9/16/2016,4,2,Ashland Creek Plaza,5681 N. Glenwood St.,5681 Ste. A,Boise,Idaho,83714     ,,1737 SF,Office for Lease - 9/16/2016,Strip Center,$0.67 /SF/Mo,$8 /SF/Yr,,NNN,20091791,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Space can be combined with Ste. B.,http://www.loopnet.com/lid/20091791,
Office for Lease - 9/16/2016,4,3,Ashland Creek Plaza,5681 N. Glenwood St.,5681 Ste. B,Boise,Idaho,83714     ,,1312 SF,Office for Lease - 9/16/2016,Strip Center,$0.67 /SF/Mo,$8 /SF/Yr,,NNN,20091791,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Space can be combined with Ste. A.,http://www.loopnet.com/lid/20091791,
Office for Lease - 9/16/2016,4,4,Ashland Creek Plaza,5681 N. Glenwood St.,5669,Boise,Idaho,83714     ,,4230 SF,Office for Lease - 9/16/2016,Strip Center,$0.67 /SF/Mo,$8 /SF/Yr,,NNN,20091791,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Well maintained retail space with front of store facing directly at Glenwood St.,http://www.loopnet.com/lid/20091791,
Office for Lease - 9/16/2016,1,1,1501 N. 13th Street Suite B,1501 N 13th St,Floor 2,Boise,Idaho,83702     ,1344 SF,1344 SF,Office for Lease - 9/16/2016,Creative/Loft,$1.04 /SF/Mo,$12.50 /SF/Yr,,NNN,20301775,Dennis Colgan,Atova Inc,dcolgan@atova.com,(208) 602-2754, ,http://www.loopnet.com/lid/20301775,
Office for Lease - 9/16/2016,5,1,8th & Fulton,848 Fulton Street,848 Fulton,Boise,Idaho,83702     ,19632 SF,2409 SF,Office for Lease - 9/16/2016,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,NNN,20250297,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20250297,
Office for Lease - 9/16/2016,5,2,8th & Fulton,848 Fulton Street,521 8th | Suite 2,Boise,Idaho,83702     ,19632 SF,1008 SF,Office for Lease - 9/16/2016,Office Building,$0.50 /SF/Mo,$6 /SF/Yr,,NNN,20250297,Scott Feighner,Colliers International,scott.feighner@colliers.com,(208) 493-5107, ,http://www.loopnet.com/lid/20250297,
